PRODUCT_NO,MODEL,QTY
C1591,CL10B104KB8NNNC,100
C1623,CL10B474KA8NNNC,100
C1779,CL21A475KAQNNNE,20
C1886,1206CG120J500NT,50
C4210,0603WAF1602T5E,100
C7190,TAJA476K006RNJ,10
C12891,CL31A226KAHNNNE,20
C17024,CL21A106KPFNNNE,20
C17379,0805W8F1201T5E,100
C17414,0805W8F1002T5E,100
C17490,0805W8F1602T5E,100
C17513,0805W8F1001T5E,200
C17604,0805W8F2001T5E,100
C17738,0805W8F510JT5E,100
C17840,0805W8F8202T5E,100
C19702,CL10A106KP8NNNC,20
C22795,0603WAF1303T5E,100
C22843,0603WAF1501T5E,100
C22940,0603WAF2401T5E,100
C22950,0603WAF200JT5E,100
C22977,0603WAF200KT5E,100
C22984,0603WAF3002T5E,100
C23137,0603WAF3303T5E,100
C23186,0603WAF5101T5E,100
C23193,0603WAF5100T5E,100
C23206,0603WAF5602T5E,100
C23231,0603WAF6802T5E,100
C23345,0603WAF220JT5E,100
C25803,0603WAF1003T5E,100
C25808,0603WAF1203T5E,100
C27834,0805W8F5101T5E,100
C28323,CL21B105KBFNNNE,20
C45783,CL21A226MAQNNNE,20
C49283,1206W4F250LT5E,50
C49678,CC0805KRX7R9BB104,100
C57116,13.5cm*19.2cm 12ge,1
C62892,UMH3N,10
C78960,BH1750FVI-TR,2
C82123,DW06D/J,10
C83055,0805B104K500CT,10
C84267,NCD0603G1,100
C86295,CL10A226MP8NUNE,20
C95329,RS-03K5102FT,100
C99076,HX-T100(150g)0.8mm,1
C100044,RC0603FR-070RL,100
C110499,DMP2035U-7,10
C115423,RS-05K101JT,100
C124378,B-2100S04P-A110,10
C125205,CT41G-0603-2X1-50V-0.1uF-K(N),50
C125931,AC0603FR-072K2L,100
C128396,TS3USB221ARSER,5
C133193,SMMS0420-4R7M,5
C152064,SMFJ5.0CA,10
C163219,TLV62568DBVR,5
C167216,FXL0630-1R0-M,5
C167218,FXL0630-2R2-M,5
C167219,FXL0630-3R3-M,5
C167747,FNR3015S2R2MT,20
C192392,CP2102,1
C225125,A1257WR-S-2P,20
C248569,LMV358B-SR,10
C269748,RMC08055.1K1%N,100
C284871,LTST-C171KRKT,20
C296278,HX3608,10
C307331,CL05B104KB54PNC,100
C315248,CL05A106MP5NUNC,20
C347476,AO3401A,20
C383371,MLP2012S1R0MT0S1,5
C393941,TF PUSH,10
C431547,SK12D07VG3,20
C434420,SZYY0603G,50
C468074,VS-30BQ015-M3/9AT,5
C492412,PZ254R-11-04P,20
C497873,YSPI0630A-220M,5
C529330,STM32G030F6P6TR,5
C561517,TS-1185-B-A-B-A,10
C668591,10.0 QHHTZB6.3,10
C692942,AO4453-VB,5
C709357,KH-TYPE-C-16P,25
C883162,BSMD1812-300-16V,5
C965555,WS2812B-2020,5
C1975146,ESDA7P60-1U1M,5
C2681548,TYPE-C 6P QT073,10
C2681568,MSK12C02-SZ,10
C2833561,M3535O1IRS13G06-850NM,5
C2833564,M3535O1IRS9G12-940NM,30
C2833574,M3535N1UVS8U12-385nm,5
C2841461,MHR-16,2
C2842275,XC53G2-12.000-F20LJDT,5
C2845379,HC-1.25-2PWT,10
C2856799,FPC-05F-12PH20,10
C2858290,10*10*9-6P WX,3
C2884746,SS-12D10L5R,5
C2890537,IP5407,5
C2892413,K0805L100AR,20
C2906984,FRC0603F1103TS,100
C2906993,FRC0603F1503TS,100
C2906995,FRC0603F1502TS,100
C2906999,FRC0603F1803TS,100
C2907002,FRC0603F1001TS,100
C2907003,FRC0603F1004TS,100
C2907028,FRC0603F3302TS,100
C2907042,FRC0603F4702TS,100
C2907061,FRC0603F6803TS,100
C2907072,FRC0603F8202TS,100
C2907088,FRC0603J104 TS,100
C2907137,FRC0603J202 TS,100
C2907166,FRC0603J472 TS,100
C2930027,FRC0603J103 TS,100
C2930046,FRL0603JR500TS,100
C2930091,FRC0603F3003TS,100
C2933260,FRC0603F8062TS,100
C2973542,AS02-20A,2
C2973805,XL2EL89COI-111YLC-8M,5
C2979182,MY-18650-02,10
C2988620,BH-18650-B1BA002,3
C2998045,FRC0402F1333TS,100
C2998086,FRC0402F5232TS,100
C3029380,WAFER-GH1.25-5PWB,20
C3029381,WAFER-GH1.25-6PWB,10
C3029443,WAFER-PH2.0-5PWB,10
C3035447,LTP3333XT3,10
